song_id,artist,title,period,genre,llm_theme,llm_emotion,llm_values,error
e0df5af2939e,Bijelo dugme,Blues za moju bivšu dragu,sfrj,rok,raskid/tuga,negativno,"usamljenost, nostalgija, prazna egzistencija, nemogućnost povratka",
cca0ed853d8d,Prljavo kazalište,Ako odlučiš,sfrj,rok,raskid/tuga,negativno,"bol rastanka, nemoć, međusobna zavisnost",
92b16184b821,Zabranjeno pušenje,Halid umjesto Halida,sfrj,rok,identitet/domovina,negativno,"prolaznost slave, gubitak identiteta, degradacija, sudbina",
6bdb98d49a02,Parni valjak,Povratak ratnika,sfrj,rok,ljubav,mešano,"isceljenje kroz ljubav, trauma rata, pronalaženje utehe",
fe186e7a4291,Parni valjak,Autoput,sfrj,rok,identitet/domovina,negativno,"otpor sudbini, unutrašnja sloboda, odbacivanje društvenih normi",
88c4dab446fb,Prljavo kazalište,"Zbogom dame, zbogom prijatelji",sfrj,rok,identitet/domovina,negativno,"nostalgija, tuga za domovinom, žrtva i patnja",
67a304d9fd7b,YU Grupa,Dunave,sfrj,rok,identitet/domovina,negativno,"usamljenost, refleksija nad sudbinom, povezanost sa prirodom",
1443f9ceb4cb,Galija,Pravoslavlje,sfrj,rok,religija,mešano,"vera i spiritualnost, nacionalni identitet, patnja i spasenje",
5a63e05e18e2,Bijelo dugme,Hej Slaveni,sfrj,rok,identitet/domovina,pozitivno,"nacionalni ponos, otpornost, vernost domovini, kontinuitet tradicije",
7118d990fada,Zabranjeno pušenje,Modni guru,sfrj,rok,identitet/domovina,mešano,"satiričnost društvenih норми, buntovništvo protiv konvencije, LGBTQ+ identitet",
da5a45a4a6a9,Prljavo kazalište,Bježi ptico od mene,sfrj,rok,raskid/tuga,negativno,"samoprerequisites, žrtva, bolna odvojenost",
6b0523e4f221,Bombaj štampa,Bolje letim sam,sfrj,rok,raskid/tuga,negativno,"samopouzdanje, oslobađanje od težine veze, samootkrivanje",
7aa65728e228,Leb i sol,Nosim tvoj žig,sfrj,rok,ljubav,negativno,"bol od neispunjene ljubavi, trajni trag bola, nedostižnost",
6b4c100f197a,Zabranjeno pušenje,Radost prvog žita,sfrj,rok,politika/društvo,pozitivno,"narodna mudrost, agrarna tradicija, skromnost, društvena pravda",
3fd614951ba1,Zabranjeno pušenje,Javi mi,sfrj,rok,ljubav,negativno,"bezuslovna lojalnost, podrška u teškoćama, samoporicanje",
10626f0ee730,Prljavo kazalište,Vrijeme (sporo prolazi),sfrj,rok,raskid/tuga,negativno,"pokajanje, samodisciplina, duhovni oporavak",
8b5d45baa460,YU Grupa,Reka,sfrj,rok,raskid/tuga,negativno,"nostalgija, čuvanje tajne, gubitak i melanholija",
95d86b55fbc8,Prljavo kazalište,Sretan Božić,sfrj,rok,politika/društvo,negativno,"kritika društvene nejednakosti, ljudska solidarnost, poricanje vlastite boli zbog većeg dobra",
92ed75aac9de,Parni valjak,Mir na jastuku,sfrj,rok,ljubav,pozitivno,"predanost, isceljenje kroz ljubav, spasenje",
63e37847c4fd,YU Grupa,Kosovski božuri,sfrj,rok,identitet/domovina,negativno,"nacionalna memorija, čuvanje istorijskog nasleđa, patriotizam",
32c59897781d,Parni valjak,Prokleta nedjelja,sfrj,rok,ljubav,mešano,"čeznja, nada u ljubavi, intima kao utešnost",
802e91c88fe9,Bombaj štampa,Ona je moj R’n’R,sfrj,rok,ljubav,mešano,"neodoljiva privlačnost, sukob razuma i srca, beskompromisna ljubav",
317efec1508f,Bijelo dugme,A koliko si ih imala do sad,sfrj,rok,ljubav,mešano,"nelagoda sa prošlošću partnera, neće znati, ljubomora prikrivena ravnodušnošću",
892d681b6289,Leb i sol,Sumorno proleće,sfrj,rok,ljubav,mešano,"otpornost ljubavi pred antagonizmom, izolacija, upornost",
bf2826b6943a,Bijelo dugme,Oprosti mi što te volim,sfrj,rok,raskid/tuga,negativno,"bezuslovna ljubav, duhovni slom, krivica i pokajanje",
53041eb32d22,Divlje jagode,Davno ljeto ’89,sfrj,rok,raskid/tuga,negativno,"nostalgija, neraspaljiva ljubav, tuga za prošlošću",
8a8761684117,Bijelo dugme,A i ti me iznevjeri,sfrj,rok,raskid/tuga,negativno,"izgubljena ljubav, napuštanje, besmisao existence",
7f2f464bdc4f,YU Grupa,Duša peva,sfrj,rok,raskid/tuga,negativno,"melanholija, izgubljeni identitet, nada kroz pesmu",
5ecd2e71a0f7,Zabranjeno pušenje,Pamtim to kao da je bilo danas,sfrj,rok,identitet/domovina,negativno,"nostalgija, izgubljena mladost, opomena pred samoćom, tragika izbora",
6bd5fd93895c,Bijelo dugme,"Bekrija si, cijelo selo viče, e pa jesam šta se koga tiče",sfrj,rok,hedonizam/provod,pozitivno,"buntovništvo, amoralnost, dostojanstvena ravnodušnost prema osudi",
089e80362e1f,Prljavo kazalište,Smeđi šećeru,sfrj,rok,hedonizam/provod,pozitivno,"samopouzdanje, provokacija, želja za pažnjom i zavišću",
e9d70579d094,Nedeljko Bajić Baja,Svadba će da bude (with Anica Milenković),tranzicija,narodna_narodnjacka,ljubav,pozitivno,"verna ljubav, predanost, jedinstvo, porodična podrška",
77f04d7bfc50,Nedeljko Bajić Baja,Oficir s ružom,tranzicija,narodna_narodnjacka,identitet/domovina,negativno,"otpor/buntovništvo, dostojanstvo, nepreklonost pred nepravdom",
327cf10a1b79,Nedeljko Bajić Baja,Doći ću ti na venčanje,tranzicija,narodna_narodnjacka,raskid/tuga,negativno,"neizdržana ljubav, neprihvatanje gubitka, ljubomora",
3616612e10ff,Nedeljko Bajić Baja,Rame za plakanje,tranzicija,narodna_narodnjacka,raskid/tuga,negativno,"dostojanstvo, prekid tolerancije, gorka svest o prošlosti",
72cadf3526c1,Nedeljko Bajić Baja,"Crna kosa, oči plave",tranzicija,narodna_narodnjacka,ljubav,mešano,"intenzivna strast, prihvatanje sudbine, iskrenost",
cef528fce02a,Nedeljko Bajić Baja,Mini suknja,tranzicija,narodna_narodnjacka,ljubav,pozitivno,"samopouzdanje, seksualna privlačnost, posesivnost",
81a892cc90d6,Nedeljko Bajić Baja,Oslobodi me,tranzicija,narodna_narodnjacka,ljubav,negativno,"žrtva ljubavi, samoodricanje, bezuslovna ljubav",
73f945326d8e,Nedeljko Bajić Baja,Svetski čovek,tranzicija,narodna_narodnjacka,identitet/domovina,pozitivno,"putovanje, univerzalnost, muzika kao povezivač ljudi",
e721c24e0719,Nedeljko Bajić Baja,Leptir,tranzicija,narodna_narodnjacka,raskid/tuga,negativno,"nostalgija, nevratnost prošlosti, bol gubitka",
bf61d8e5e6a6,Dino Merlin,I dok predajem se tebi (duet Henda),tranzicija,pop,ljubav,mešano,"prolaznost ljubavi, trenutna nežnost i budući bol",
3e4e9486f3cd,Ivana Banfić,Kad bi bila,tranzicija,pop,ljubav,negativno,"opsesija, ljubomora, odbijanje",
2a8e844b36ca,Van Gogh,Demagogija,tranzicija,pop,politika/društvo,negativno,"kritika demagogije, korupcije i cinizma, svesnost o moralno-društvenom padu",
a96a789c67a5,Colonia,Ale ale,tranzicija,pop,identitet/domovina,pozitivno,"nacionalni ponos, bratstvo, pripadnost zajednici",
d6303574cf80,Ivana Banfić,Oslobodi me,tranzicija,pop,raskid/tuga,negativno,"oslobađanje od manipulacije, nejednakog odnosa, žrtva nezrelosti",
dff3a1f8552e,Dino Merlin,Pogledaj sa prozora,tranzicija,pop,raskid/tuga,negativno,"nostalgija, neprežaljeni gubitak, nemogućnost pomirenja",
e0972cdfba55,Dino Merlin,Ćuskije,tranzicija,pop,ljubav,negativno,"čežnja, nostalgia, nemogućnost zaboravljanja",
86dc79afd25f,Dino Merlin,Božić je,tranzicija,pop,raskid/tuga,negativno,"gubitak, sudbina, osamljenost, nostalgija",
d63e5aa70488,Ivana Banfić,"Kad ti kažem, mali",tranzicija,pop,ljubav,negativno,"bol od neuzvrćene ljubavi, razočaranje, putovanje kao bekstvo",
50fcbe1eb3b4,Colonia,Dvoje,tranzicija,pop,ljubav,pozitivno,"bezuslovna posvećenost, zaštita voljene osobe, jačina ljubavi",
c7f287cd04c3,Dino Merlin,Ostat će istine dvije (kao nikada prije),tranzicija,pop,ljubav,negativno,"bol od neispunjene ljubavi, nedostatak razumevanja, tuga",
7957a76572c4,Dino Merlin,Zaspao je mjesec,tranzicija,pop,ljubav,pozitivno,"romantična nežnost, zaštita voljene osobe, posvećenost",
cefa8f7e9160,Dino Merlin,Uspavanka za Gorana B.,tranzicija,pop,raskid/tuga,negativno,"nada u oporavak, molba za zaštitom, nostalgija",
a0f992db3347,Colonia,Fjaka,tranzicija,pop,hedonizam/provod,negativno,"apatija, letargija, bekstvo od problema kroz alkohol",
a979d4bb3213,Colonia,Njeno ime ne zovi u snu,tranzicija,pop,raskid/tuga,negativno,"bol gubitka, samosvest o nepovratnosti, žrtva ljubavi",
81aa7b41b430,Dino Merlin,Baska ti,tranzicija,pop,raskid/tuga,negativno,"prihvatanje prolaznosti, žal za izgubljenim, nemoć pred vremenom",
60a42239786c,Colonia,Nek’ vatre gore sve,tranzicija,pop,ljubav,pozitivno,"strast, intimnost, želja za povezanošću",
5e47e6e8a627,Colonia,Suvenir,tranzicija,pop,raskid/tuga,negativno,"dostojanstvo, nezavisnost, odbacivanje manipulacije",
322906e49a02,Ivana Banfić,Ni za živu glavu ne bi,tranzicija,pop,raskid/tuga,negativno,"samozaštita, lekcija iz bola, odlučnost da se prekinе veza",
3343547f0ce7,Colonia,Oduzimaš mi dah,tranzicija,pop,ljubav,pozitivno,"duboka privrženost, večna ljubav, intenzivna čežnja",
a7a550bd7179,Colonia,Dio nje,tranzicija,pop,raskid/tuga,negativno,"neuzajamljena ljubav, bolna spoznaja, besmislenost nada",
1d7fdd2bd934,Dragana Mirković,Bolna sam ti,tranzicija,turbo_folk,raskid/tuga,negativno,"duboka bol, beznadežnost, nerekvitovana ljubav",
c1c159180ba7,Indira Radić,Ne boli to,tranzicija,turbo_folk,raskid/tuga,negativno,"blagajući odlazak, odbijanje manipulacije, dostojanstvo",
ecc37d3af84d,Dragana Mirković,Fobija,tranzicija,turbo_folk,raskid/tuga,negativno,"bol od raskida, strah od bliskih odnosa, samozaštita kroz laži",
c8a8d4e19d75,Indira Radić,Sve je gore sa tobom,tranzicija,turbo_folk,raskid/tuga,negativno,"žal za izgubljenim vremenom, prihvatanje realnosti, pomirenje sa sudbinom",
5708733c1f3a,Dragana Mirković,Niko nikog ne voli,tranzicija,turbo_folk,raskid/tuga,negativno,"patnja od ljubavi, prokletstvo, beznadežnost",
db909c3e3180,Indira Radić,Suze moje,tranzicija,turbo_folk,ljubav,negativno,"nerekvitovana ljubav, patnja, tajnost osjećanja",
1851b82c5780,Aca Lukas,Dijabolik,tranzicija,turbo_folk,raskid/tuga,negativno,"samouništavanje, alkoholizam kao bekstvo, samopreispitivanje",
902b096bc30d,Indira Radić,"Uzmi, sve mi uzmi",tranzicija,turbo_folk,raskid/tuga,negativno,"patnja od izdaje, beznadežnost, suicidalne misli",
9d8364ebb8c6,Dragan Kojić Keba,Sve si rane izlečila,tranzicija,turbo_folk,raskid/tuga,negativno,"vernost, nerekvitirana ljubav, tragedija ljubavi",
3bbb6a68b8bf,Svetlana Ceca Ražnatović,"Neodoljiv, neumoljiv",tranzicija,turbo_folk,raskid/tuga,negativno,"bol ljubavi, samoubilačka privlačnost, patnja od nemogućnosti zaboravljanja",
8e37f714b839,Saša Matić,Ulični svirač (duet Bonami),tranzicija,turbo_folk,prijateljstvo/porodica,negativno,"solidarnost u patnji, prihvatanje sudbine, ljudskost u nevolji",
af6526f9ef8c,Saša Matić,Nađi novu ljubav,tranzicija,turbo_folk,raskid/tuga,negativno,"rezignacija, samodeststrukcija, nemoć u ljubavi",
25c1d9c3b7c5,Dragan Kojić Keba,Moj brate,tranzicija,turbo_folk,prijateljstvo/porodica,negativno,"nostalgija, bol od odsustva voljene osobe, tuga zbog rastanka",
9fb3cbac6f4a,Dragana Mirković,Oprosti što ti smetam,tranzicija,turbo_folk,raskid/tuga,negativno,"žaljenje, nesporazum, neuspela ljubav, sudbinski razvod putanja",
bf573df32ac9,Indira Radić,Ima nešto,tranzicija,turbo_folk,raskid/tuga,negativno,"nesigurnost, patnja skrivena iza maske, pokušaj da se razume boli drugoga",
66f4a2d418df,Dragana Mirković,S vremena na vreme,tranzicija,turbo_folk,raskid/tuga,negativno,"nostalgija, bol od rastanka, nada u uspomene",
5325b82d1946,Indira Radić,"Evo ti ruka, vodi me",tranzicija,turbo_folk,ljubav,pozitivno,"romantična nada, idealizovana ljubav, zajedništvo",
1f771dd7a6d1,Seka Aleksić,Ja tuđe usne ljubim,tranzicija,turbo_folk,ljubav,negativno,"vernost uprkos bolu, patnja od neobjavljene ljubavi, žrtva",
25616133cefd,Indira Radić,"Hoće mi se, hoće",tranzicija,turbo_folk,hedonizam/provod,pozitivno,"uživanje u noći, strast, oslobođenost",
30388e248f0c,Aca Lukas,Udari prva,tranzicija,turbo_folk,ljubav,mešano,"odanost, žrtva, prihvatanje bola, bezuslovna podrška",
27f835b20fdf,Indira Radić,Moja će te ljubav stići,tranzicija,turbo_folk,ljubav,mešano,"upornost u ljubavi, nada, upozorenje pred iluzijom",
eb088af844e8,Seka Aleksić,Ako me voliš pusti me,tranzicija,turbo_folk,raskid/tuga,negativno,"oslobađanje, prihvatanje kraja, samopoštovanje",
8c6b8e74e1cd,Indira Radić,Tvoj pogled,tranzicija,turbo_folk,ljubav,pozitivno,"strast, privlačnost, zanosenost",
422d5c2b952f,Aca Lukas,Lešće,tranzicija,turbo_folk,ljubav,mešano,"nostalgija, tuga za izgubljenom ljubavlju, reminiscencija",
00e1015d19a4,Dragana Mirković,Neću pokajanje,tranzicija,turbo_folk,raskid/tuga,negativno,"odbijanje pomirenja, bol i emotional detachment, samozaštita",
425b2fee0505,Aca Lukas,Ove noći jedna žena,tranzicija,turbo_folk,raskid/tuga,negativno,"neoduživana ljubav, patnja, nesalomljiva tuga",
9ef837302caf,Dragana Mirković,Od kad sam se u tebe zaljubila,tranzicija,turbo_folk,raskid/tuga,negativno,"samopriznanje greške, boli od izdaje, gubitak vere",
f4394dc44cd9,Svetlana Ceca Ražnatović,Ako te ona odbije,tranzicija,turbo_folk,ljubav,negativno,"bezuslovna žrtva, nerealizovana ljubav, tuга",
3dae9837bfde,Indira Radić,Gde si sada,tranzicija,turbo_folk,raskid/tuga,negativno,"čežnja, bolna renost, razočaranje",
1ab4debad6fe,Indira Radić,"Imali smo, nismo znali (duet Alen Islamović)",tranzicija,turbo_folk,raskid/tuga,negativno,"žaljenje, nesvest o vrednosti ljubavi dok se ima, neizbežnost gubitka",
d7573fc68751,Svetlana Ceca Ražnatović,Pogrešan broj,tranzicija,turbo_folk,raskid/tuga,negativno,"odbijanje prošlosti, nemoć da se zaboravi, negiranje bola",
0694b7b3219a,Seka Aleksić,Rođena da budem druga,tranzicija,turbo_folk,ljubav,negativno,"samopouzdanje, prihvatanje uloge, tuga od neizvesnosti",
024fb8a80747,Dragana Mirković,Mamina i tatina,tranzicija,turbo_folk,ljubav,pozitivno,"zauvek, predanost, ispunjenje sudbine",
862d02c5c7e0,Dragana Mirković,Depresivan dan,tranzicija,turbo_folk,raskid/tuga,negativno,"nemoć zaboravljanja, samorazaranje, očaj",
93ff5c5b4623,Seka Aleksić,Poslednji let,tranzicija,turbo_folk,ljubav,negativno,"neizvesnost ljubavi, prihvatanje sudbine, samoća",
0cf12255beb2,Aca Lukas,Pevaj mi o njoj,tranzicija,turbo_folk,ljubav,negativno,"nostalgija, tuga, utešta kroz pesmu, vernost prijateljstvu",
c7e6890e6faa,Dragana Mirković,"Uteši me, tužna sam",tranzicija,turbo_folk,raskid/tuga,negativno,"nostalgija, bol od gubitka, traženje potvrde ljubavi",
700ea15235e3,Aca Lukas,Istina je da te lažem,tranzicija,turbo_folk,ljubav,negativno,"samosvest o sopstvenim manama, samopouzdanje kroz ironiju, samozaloščenje",
006e273c4a49,Dragan Kojić Keba,Moj život,tranzicija,turbo_folk,raskid/tuga,negativno,"samodestruktivnost, završetak veze, prihvatanje bola",
e42dbcc1679b,Svetlana Ceca Ražnatović,"Hej, ljubavi ljubavi",tranzicija,turbo_folk,raskid/tuga,negativno,"bol od raskida, neizbežnost rastanka, samohvaljenje",
d87453d49818,Dragana Mirković,Vrati mi se ti,tranzicija,turbo_folk,raskid/tuga,negativno,"bol od napuštanja, nenadoknadivost ljubavi, samota",
14e28550f1fa,Dragana Mirković,Pun je grad života,tranzicija,turbo_folk,raskid/tuga,negativno,"prekid veze, bol od izdaje, odbijanje povratka",
885f6327b263,Indira Radić,Prevaranti,tranzicija,turbo_folk,raskid/tuga,negativno,"žensko jedinstvo, oprez pred muškarcima, razočaranje u ljubavi",
51da4a4ce276,Aca Lukas,A kada odem,tranzicija,turbo_folk,raskid/tuga,negativno,"odbacivanje, bol rastanka, ravnodušnost prema drugome",
0005b6e5453d,Dragana Mirković,Pitam svoje srce,tranzicija,turbo_folk,ljubav,negativno,"osamljenost, tuga zbog odsutnosti voljene osobe, nostalgia",
ec5156175f36,Dragan Kojić Keba,Lice,tranzicija,turbo_folk,raskid/tuga,negativno,"bolna prihvatanja kraja, oslobođenje od bola, dostojanstveni odlazak",
2b9d0a96f836,Viki Miljković,"Idu mi, idu",tranzicija,turbo_folk,raskid/tuga,negativno,"neuzajamljena ljubav, žrtva i nezahvalnost, propadanje",
be5f0f23a2eb,Aca Lukas,"Ne slušaj, majko",tranzicija,turbo_folk,prijateljstvo/porodica,mešano,"zaštita majke od tuge, buntovništvo prema sudu okoline, unutrašnja sreća unatoč negativnoj percepciji",
9c3d02e4c5ab,Dragan Kojić Keba,Cvećar,tranzicija,turbo_folk,raskid/tuga,negativno,"nostalgija, neizvršena sudbina, žal za izgubljenom ljubavlju",
8ec58ae5c7ae,Indira Radić,Kiša,tranzicija,turbo_folk,ljubav,negativno,"tajnost, čežnja, bol od nedostižnosti",
f2bd46a1193d,Dragan Kojić Keba,Zar da živim bez tebe (duet Jovana Tipšin),tranzicija,turbo_folk,ljubav,negativno,"obsesija,依存性 na partneru, bespomoćnost bez voljene osobe",
2c39a48efae2,Dragana Mirković,Danima,tranzicija,turbo_folk,raskid/tuga,negativno,"jad zbog gubitka, nemoć pred sudbinom, bol od izdaje",
f2b4bbcf5eb4,Dragana Mirković,Nije tebi do mene,tranzicija,turbo_folk,raskid/tuga,negativno,"sudbina, neispunjene želje, neizbežna usamljenost",
b1515cb82cd9,Svetlana Ceca Ražnatović,Što si tako zaboravan,tranzicija,turbo_folk,raskid/tuga,negativno,"razočaranje, nestabilnost partnera, žal nad izgubljenom ljubavlju",
9e1a9950b01e,Dragan Kojić Keba,"Dođi, srce da ozdravi",tranzicija,turbo_folk,raskid/tuga,negativno,"bol od gubitka, očaj, nostalgija, privrženost",
14338ec61235,Dragan Kojić Keba,Bre gidi džanum,tranzicija,turbo_folk,ljubav,pozitivno,"večna ljubav, sudbina, odanost, jedinstvenost partnera",
cfa13aad9667,Indira Radić,Gledaj me i umri,tranzicija,turbo_folk,ljubav,negativno,"samopouzdanje, odbijanje, ponos",
6d1755a0b7ca,Indira Radić,Pocrnela burma,tranzicija,turbo_folk,raskid/tuga,negativno,"izdaja, životni gubitak, žaljenje za izgubljenim",
173ff15280b8,Divlje jagode,Bubi,sfrj,rok,ljubav,pozitivno,"samopouzdanje, flertovanje, privlačnost",
9eb9e010cfc4,Leb i sol,Femme fatale,sfrj,rok,ljubav,mešano,"romantična fascinacija, osvajanje, samoizguba pred ženom",
0c719893bdc4,Divlje jagode,Ciganka,sfrj,rok,identitet/domovina,negativno,"nomadizam, sudbina, tragičnost postojanja, kulturni identitet",
